/net010 X,/net010 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net02 X,/net02 Y,/net039 X,/net039 Y
0,7.369521627105519e-05,0,7.369521627095502e-05,0,6.437806357484242e-05,0,0,0,7.369521627104226e-05
1.5e-11,7.369521627104914e-05,1.5e-11,7.369521627098554e-05,1.5e-11,6.437806357494111e-05,1.5e-11,0,1.5e-11,7.369521627103537e-05
4.5e-11,7.369521627099646e-05,4.5e-11,7.369521627105436e-05,4.5e-11,6.43780635749771e-05,4.5e-11,0,4.5e-11,7.369521627096975e-05
1.05e-10,7.369521626932659e-05,1.05e-10,7.369521626969691e-05,1.05e-10,6.437806357503587e-05,1.05e-10,0,1.05e-10,7.369521626916893e-05
2.25e-10,7.369521627270492e-05,2.25e-10,7.369521626955872e-05,2.25e-10,6.437806357487067e-05,2.25e-10,0,2.25e-10,7.369521626977904e-05
4.65e-10,7.369521626614317e-05,4.65e-10,7.369521627266109e-05,4.65e-10,6.437806357492538e-05,4.65e-10,0,4.65e-10,7.369521627219256e-05
7.649999999999999e-10,7.369521627572666e-05,7.649999999999999e-10,7.369521626644791e-05,7.649999999999999e-10,6.437806357505079e-05,7.649999999999999e-10,0,7.649999999999999e-10,7.369521627290318e-05
1.065e-09,7.36952162690133e-05,1.065e-09,7.369521627600556e-05,1.065e-09,6.437806357457221e-05,1.065e-09,0,1.065e-09,7.369521626573143e-05
1.365e-09,7.369521627256984e-05,1.365e-09,7.369521626323634e-05,1.365e-09,6.437806357497992e-05,1.365e-09,0,1.365e-09,7.369521627614039e-05
1.665e-09,7.369521626937312e-05,1.665e-09,7.369521627863251e-05,1.665e-09,6.43780635750689e-05,1.665e-09,0,1.665e-09,7.369521626630545e-05
1.8325e-09,7.369521626954125e-05,1.8325e-09,7.369521626356706e-05,1.8325e-09,6.437806357488831e-05,1.8325e-09,0,1.8325e-09,7.369521627574751e-05
2e-09,7.369521627549958e-05,2e-09,7.369521627858053e-05,2e-09,6.437806357485801e-05,2e-09,0,2e-09,7.36952162662021e-05
2.120144127384571e-09,7.369521627108819e-05,2.120144127384571e-09,7.369521627105168e-05,2.120144127384571e-09,6.437806357548965e-05,2.120144127384571e-09,0.06674673743587282,2.120144127384571e-09,7.369521627070414e-05
2.261585129605973e-09,7.369521627231069e-05,2.261585129605973e-09,7.369521626929763e-05,2.261585129605973e-09,6.437806354947979e-05,2.261585129605973e-09,0.1453250720033182,2.261585129605973e-09,7.369521627239551e-05
2.400273538304042e-09,7.369521626998592e-05,2.400273538304042e-09,7.369521626964677e-05,2.400273538304042e-09,6.437806369103762e-05,2.400273538304042e-09,0.2223741879466899,2.400273538304042e-09,7.36952162696572e-05
2.455450261565136e-09,7.369521627164806e-05,2.455450261565136e-09,7.369521627184737e-05,2.455450261565136e-09,6.437806291799006e-05,2.455450261565136e-09,0.2530279230917421,2.455450261565136e-09,7.369521627206482e-05
2.483038623195683e-09,7.369521627044474e-05,2.483038623195683e-09,7.369521627667556e-05,2.483038623195683e-09,6.437806573854525e-05,2.483038623195683e-09,0.2683547906642681,2.483038623195683e-09,7.369521627012452e-05
2.538215346456776e-09,7.369521627178759e-05,2.538215346456776e-09,7.369521626091891e-05,2.538215346456776e-09,6.437806085205773e-05,2.538215346456776e-09,0.29900852580932,2.538215346456776e-09,7.369521626901282e-05
2.560737121399793e-09,7.369521627043122e-05,2.560737121399793e-09,7.369521629244201e-05,2.560737121399793e-09,6.437806609857266e-05,2.560737121399793e-09,0.3115206229998852,2.560737121399793e-09,7.369521627261984e-05
2.571998008871302e-09,7.369521627142769e-05,2.571998008871302e-09,7.3695216252603e-05,2.571998008871302e-09,6.437806417700354e-05,2.571998008871302e-09,0.3177766715951677,2.571998008871302e-09,7.369521626997595e-05
2.594519783814319e-09,7.369521627063693e-05,2.594519783814319e-09,7.369521627558347e-05,2.594519783814319e-09,6.437806166345795e-05,2.594519783814319e-09,0.3302887687857327,2.594519783814319e-09,7.369521627218803e-05
2.619292015545605e-09,7.36952162685672e-05,2.619292015545605e-09,7.369521627810956e-05,2.619292015545605e-09,6.437806587716218e-05,2.619292015545605e-09,0.3440511197475583,2.619292015545605e-09,7.369521626984225e-05
2.640503769766919e-09,7.369521627558046e-05,2.640503769766919e-09,7.369521625489181e-05,2.640503769766919e-09,6.437806140784746e-05,2.640503769766919e-09,0.3558354276482882,2.640503769766919e-09,7.369521626916384e-05
2.660686031888313e-09,7.369521626734936e-05,2.660686031888313e-09,7.369521629378127e-05,2.660686031888313e-09,6.437806531018654e-05,2.660686031888313e-09,0.3670477954935073,2.660686031888313e-09,7.369521627244973e-05
2.682055619276555e-09,7.369521627405512e-05,2.682055619276555e-09,7.369521624894356e-05,2.682055619276555e-09,6.437806228990083e-05,2.682055619276555e-09,0.3789197884869752,2.682055619276555e-09,7.369521626958841e-05
2.701703988604068e-09,7.36952162710718e-05,2.701703988604068e-09,7.369521628812496e-05,2.701703988604068e-09,6.437806443221623e-05,2.701703988604068e-09,0.3898355492244823,2.701703988604068e-09,7.369521627187978e-05
2.725079201383482e-09,7.36952162711093e-05,2.725079201383482e-09,7.369521625601286e-05,2.725079201383482e-09,6.437806300561221e-05,2.725079201383482e-09,0.4028217785463786,2.725079201383482e-09,7.369521627016296e-05
2.753399842659675e-09,7.369521627066405e-05,2.753399842659675e-09,7.369521628439079e-05,2.753399842659675e-09,6.43780639549853e-05,2.753399842659675e-09,0.418555468144264,2.753399842659675e-09,7.369521627198966e-05
2.784176825806209e-09,7.369521627116441e-05,2.784176825806209e-09,7.369521625998884e-05,2.784176825806209e-09,6.437806333369618e-05,2.784176825806209e-09,0.4356537921145603,2.784176825806209e-09,7.369521627002738e-05
2.812895477102596e-09,7.369521627093701e-05,2.812895477102596e-09,7.369521627982293e-05,2.812895477102596e-09,6.43780636997714e-05,2.812895477102596e-09,0.4516085983903309,2.812895477102596e-09,7.369521627461804e-05
2.842817606890742e-09,7.369521627113105e-05,2.842817606890742e-09,7.369521626379368e-05,2.842817606890742e-09,6.43780635370389e-05,2.842817606890742e-09,0.4682320038281897,2.842817606890742e-09,7.369521626783026e-05
2.867139585824202e-09,7.369521627079346e-05,2.867139585824202e-09,7.369521627382676e-05,2.867139585824202e-09,6.437806353315008e-05,2.867139585824202e-09,0.4817442143467787,2.867139585824202e-09,7.369521627374093e-05
2.89510426513057e-09,7.369521627105675e-05,2.89510426513057e-09,7.369521626910772e-05,2.89510426513057e-09,6.437806366699073e-05,2.89510426513057e-09,0.497280147294761,2.89510426513057e-09,7.369521626589101e-05
2.92109092998194e-09,7.36952162681091e-05,2.92109092998194e-09,7.369521627222385e-05,2.92109092998194e-09,6.437806344391833e-05,2.92109092998194e-09,0.5117171833233001,2.92109092998194e-09,7.369521627814714e-05
2.973064259684681e-09,7.369521627380308e-05,2.973064259684681e-09,7.369521627058101e-05,2.973064259684681e-09,6.437806371992825e-05,2.973064259684681e-09,0.5405912553803782,2.973064259684681e-09,7.369521626415435e-05
3.015890532229431e-09,7.369521626573437e-05,3.015890532229431e-09,7.369521627129886e-05,3.015890532229431e-09,6.437806341483852e-05,3.015890532229431e-09,0.5643836290163504,3.015890532229431e-09,7.369521627715851e-05
3.059187524506171e-09,7.369521627593036e-05,3.059187524506171e-09,7.369521627127092e-05,3.059187524506171e-09,6.437806374646365e-05,3.059187524506171e-09,0.5884375136145392,3.059187524506171e-09,7.369521626528925e-05
3.070300109813242e-09,7.36952162679206e-05,3.070300109813242e-09,7.369521627023019e-05,3.070300109813242e-09,6.437806337816403e-05,3.070300109813242e-09,0.5946111721184675,3.070300109813242e-09,7.369521627204786e-05
3.092525280427383e-09,7.36952162741447e-05,3.092525280427383e-09,7.369521627200916e-05,3.092525280427383e-09,6.437806377447767e-05,3.092525280427383e-09,0.6069584891263239,3.092525280427383e-09,7.369521626685827e-05
3.099684254192728e-09,7.369521626934506e-05,3.099684254192728e-09,7.369521626731541e-05,3.099684254192728e-09,6.437806338321689e-05,3.099684254192728e-09,0.6109356967737377,3.099684254192728e-09,7.369521627531247e-05
3.114002201723417e-09,7.369521627053358e-05,3.114002201723417e-09,7.369521627468829e-05,3.114002201723417e-09,6.437806375335164e-05,3.114002201723417e-09,0.6188901120685651,3.114002201723417e-09,7.369521626912719e-05
3.124927069161224e-09,7.36952162710932e-05,3.124927069161224e-09,7.369521626453999e-05,3.124927069161224e-09,6.437806336970442e-05,3.124927069161224e-09,0.6249594828673465,3.124927069161224e-09,7.369521627281184e-05
3.135313259469671e-09,7.369521627120742e-05,3.135313259469671e-09,7.369521628044308e-05,3.135313259469671e-09,6.437806385900421e-05,3.135313259469671e-09,0.6307295885942614,3.135313259469671e-09,7.369521626934773e-05
3.14764971604625e-09,7.369521626793148e-05,3.14764971604625e-09,7.369521626645854e-05,3.14764971604625e-09,6.437806360170672e-05,3.14764971604625e-09,0.6375831755812497,3.14764971604625e-09,7.3695216272366e-05
3.157684697106901e-09,7.369521627289982e-05,3.157684697106901e-09,7.369521629641861e-05,3.157684697106901e-09,6.437806463378877e-05,3.157684697106901e-09,0.6431581650593895,3.157684697106901e-09,7.369521626984371e-05
3.160409149076971e-09,7.369521627119913e-05,3.160409149076971e-09,7.369521609410698e-05,3.160409149076971e-09,6.437806122260058e-05,3.160409149076971e-09,0.6446717494872062,3.160409149076971e-09,7.369521626316687e-05
3.165858053017111e-09,7.369521626933177e-05,3.165858053017111e-09,7.369521493574133e-05,3.165858053017111e-09,6.437802957189139e-05,3.165858053017111e-09,0.6476989183428393,3.165858053017111e-09,7.369521623064728e-05
3.176755860897391e-09,7.36952162720137e-05,3.176755860897391e-09,7.369521568432162e-05,3.176755860897391e-09,6.437799129903198e-05,3.176755860897391e-09,0.6537532560541058,3.176755860897391e-09,7.369521629324458e-05
3.184473711924347e-09,7.369521628622399e-05,3.184473711924347e-09,7.369525819109267e-05,3.184473711924347e-09,6.437919011161771e-05,3.184473711924347e-09,0.6580409510690816,3.184473711924347e-09,7.369521744304348e-05
3.195005775383895e-09,7.369521624211725e-05,3.195005775383895e-09,7.369522782097537e-05,3.195005775383895e-09,6.43801250284154e-05,3.195005775383895e-09,0.6638920974354972,3.195005775383895e-09,7.369521617545431e-05
3.202561376941708e-09,7.369521595321896e-05,3.202561376941708e-09,7.369363924977311e-05,3.202561376941708e-09,6.433636370912929e-05,3.202561376941708e-09,0.6680896538565045,3.202561376941708e-09,7.369520192149441e-05
3.210983693432104e-09,7.369521693323526e-05,3.210983693432104e-09,7.369458408281635e-05,3.210983693432104e-09,6.430508508867431e-05,3.210983693432104e-09,0.6727687185733908,3.210983693432104e-09,7.369520933738475e-05
3.218019527550967e-09,7.369521772192636e-05,3.218019527550967e-09,7.370468017819848e-05,3.218019527550967e-09,6.455238761572478e-05,3.218019527550967e-09,0.6766775153060928,3.218019527550967e-09,7.36952622853172e-05
3.224396203110336e-09,7.369521174775401e-05,3.224396203110336e-09,7.36924972199661e-05,3.224396203110336e-09,6.45137517476077e-05,3.224396203110336e-09,0.6802201128390754,3.224396203110336e-09,7.369530178222398e-05
3.231792192264349e-09,7.36952185380589e-05,3.231792192264349e-09,7.368652994312966e-05,3.231792192264349e-09,6.425865181346042e-05,3.231792192264349e-09,0.6843289957024159,3.231792192264349e-09,7.369518733812036e-05
3.23945006053522e-09,7.369521853457149e-05,3.23945006053522e-09,7.369875277875763e-05,3.23945006053522e-09,6.43189877959622e-05,3.23945006053522e-09,0.6885833669640109,3.23945006053522e-09,7.369516689558237e-05
3.246950618078922e-09,7.369521316915189e-05,3.246950618078922e-09,7.369634442607775e-05,3.246950618078922e-09,6.43677011433275e-05,3.246950618078922e-09,0.6927503433771788,3.246950618078922e-09,7.369519934270696e-05
3.254159827507598e-09,7.369521662338665e-05,3.254159827507598e-09,7.369572921393416e-05,3.254159827507598e-09,6.438114576269715e-05,3.254159827507598e-09,0.6967554597264431,3.254159827507598e-09,7.369497836282248e-05
3.261467825196525e-09,7.369521533025377e-05,3.261467825196525e-09,7.369346515019249e-05,3.261467825196525e-09,6.432038367842549e-05,3.261467825196525e-09,0.7008154584425138,3.261467825196525e-09,7.369488942397038e-05
3.267074252522508e-09,7.369520696718337e-05,3.267074252522508e-09,7.369032180532307e-05,3.267074252522508e-09,6.414717890076628e-05,3.267074252522508e-09,0.703930140290282,3.267074252522508e-09,7.369293696176578e-05
3.27152892733947e-09,7.36951265442273e-05,3.27152892733947e-09,7.369029936870079e-05,3.27152892733947e-09,6.367813398646108e-05,3.27152892733947e-09,0.7064049596330386,3.27152892733947e-09,7.367737570227945e-05
3.275483847434153e-09,7.36950510520694e-05,3.275483847434153e-09,7.369865426383133e-05,3.275483847434153e-09,6.288173409370512e-05,3.275483847434153e-09,0.7086021374634184,3.275483847434153e-09,7.364932726671453e-05
3.279521486962857e-09,7.369567570904611e-05,3.279521486962857e-09,7.370902244771501e-05,3.279521486962857e-09,6.368660216969929e-05,3.279521486962857e-09,0.7108452705349206,3.279521486962857e-09,7.371669164462472e-05
3.28294407663783e-09,7.369903252704292e-05,3.28294407663783e-09,7.371339896163454e-05,3.28294407663783e-09,7.466691729040358e-05,3.28294407663783e-09,0.712746709243239,3.28294407663783e-09,7.426954373362761e-05
3.286376490582412e-09,7.370140848429682e-05,3.286376490582412e-09,7.37107296762313e-05,3.286376490582412e-09,0.0001002249622102325,3.286376490582412e-09,0.714653605879118,3.286376490582412e-09,7.522479263628028e-05
3.289553102791856e-09,7.369237250368786e-05,3.289553102791856e-09,7.370669508555961e-05,3.289553102791856e-09,0.000108286905442358,3.289553102791856e-09,0.7164183904399202,3.289553102791856e-09,7.496007302480232e-05
3.291928258048703e-09,7.368406640810168e-05,3.291928258048703e-09,7.370294400299434e-05,3.291928258048703e-09,6.13748201246975e-05,3.291928258048703e-09,0.7177379211381684,3.291928258048703e-09,7.3799416210768e-05
3.294779353966443e-09,7.368524476577748e-05,3.294779353966443e-09,7.368041698266574e-05,3.294779353966443e-09,-0.0001621471940136208,3.294779353966443e-09,0.7193218633146905,3.294779353966443e-09,7.265550592650557e-05
3.298097003403268e-09,7.369739844810986e-05,3.298097003403268e-09,7.365608541295132e-05,3.298097003403268e-09,-0.0007927033217260732,3.298097003403268e-09,0.7211650018907045,3.298097003403268e-09,6.869787080533913e-05
3.302129569821714e-09,7.371537833649563e-05,3.302129569821714e-09,7.367949605634133e-05,3.302129569821714e-09,-0.001211926618952776,3.302129569821714e-09,0.7234053165676191,3.302129569821714e-09,5.730945952143822e-05
3.30505305361962e-09,7.370558267444939e-05,3.30505305361962e-09,7.369433018688824e-05,3.30505305361962e-09,-0.0009754810130902766,3.30505305361962e-09,0.7250294742331223,3.30505305361962e-09,5.461391617230299e-05
3.307772071553534e-09,7.368624832437381e-05,3.307772071553534e-09,7.369027196001868e-05,3.307772071553534e-09,-0.0005998389244293123,3.307772071553534e-09,0.7265400397519631,3.307772071553534e-09,6.30493226757112e-05
3.310486943907071e-09,7.369036733051886e-05,3.310486943907071e-09,7.368775655830364e-05,3.310486943907071e-09,-0.0002771880830597112,3.310486943907071e-09,0.7280483021705949,3.310486943907071e-09,8.257532792499276e-05
3.313380921680219e-09,7.371069849359456e-05,3.313380921680219e-09,7.368709452760722e-05,3.313380921680219e-09,-0.0002643991074170026,3.313380921680219e-09,0.7296560676001218,3.313380921680219e-09,0.0001226736941088845
3.315831374305836e-09,7.372858378370802e-05,3.315831374305836e-09,7.369097422465884e-05,3.315831374305836e-09,-0.0006746327029792298,3.315831374305836e-09,0.7310174301699091,3.315831374305836e-09,0.0001831628430653539
3.318484390343575e-09,7.372082089063016e-05,3.318484390343575e-09,7.369976483085199e-05,3.318484390343575e-09,-0.001509942213153511,3.318484390343575e-09,0.732491327968653,3.318484390343575e-09,0.0003207759449782515
3.322077780314551e-09,7.367594257091406e-05,3.322077780314551e-09,7.371479523356589e-05,3.322077780314551e-09,-0.002698520059978894,3.322077780314551e-09,0.7344876557303058,3.322077780314551e-09,0.0003703772068834635
3.324817864775285e-09,7.363929673812942e-05,3.324817864775285e-09,7.371799432954738e-05,3.324817864775285e-09,-0.003346611583437052,3.324817864775285e-09,0.7360099248751584,3.324817864775285e-09,-0.002652729379022273
3.327786254749553e-09,7.361818996908866e-05,3.327786254749553e-09,7.371401945467716e-05,3.327786254749553e-09,-0.003581803077784421,3.327786254749553e-09,0.7376590304164184,3.327786254749553e-09,-0.01053241530463789
3.330762465958653e-09,7.363141169993371e-05,3.330762465958653e-09,7.370885968756367e-05,3.330762465958653e-09,-0.003168617280850331,3.330762465958653e-09,0.7393124810881407,3.330762465958653e-09,-0.01111067694412912
3.333407570213679e-09,7.366705205186484e-05,3.333407570213679e-09,7.369869679654547e-05,3.333407570213679e-09,-0.002362566429786633,3.333407570213679e-09,0.7407819834520439,3.333407570213679e-09,0.02210577338813176
3.335932466909921e-09,7.370000729663442e-05,3.335932466909921e-09,7.368244461721128e-05,3.335932466909921e-09,-0.001654610528993585,3.335932466909921e-09,0.7421847038388447,3.335932466909921e-09,0.1004261557453803
3.338072545308296e-09,7.373469361019106e-05,3.338072545308296e-09,7.368555599953187e-05,3.338072545308296e-09,-0.0009532307364612571,3.338072545308296e-09,0.7433736362823868,3.338072545308296e-09,0.1939479545883966
3.340638056948727e-09,7.376179628854354e-05,3.340638056948727e-09,7.369473580022663e-05,3.340638056948727e-09,0.0002032288498901306,3.340638056948727e-09,0.7447989205270705,3.340638056948727e-09,0.3214980151350828
3.343453818604947e-09,7.374478384443808e-05,3.343453818604947e-09,7.368557516384709e-05,3.343453818604947e-09,0.001427147444166271,3.343453818604947e-09,0.7463632325583039,3.343453818604947e-09,0.4719679000278393
3.346189700680039e-09,7.372225606283048e-05,3.346189700680039e-09,7.36826752173539e-05,3.346189700680039e-09,0.002370082837283139,3.346189700680039e-09,0.7478831670444659,3.346189700680039e-09,0.6120191995468873
3.349080150674573e-09,7.370318186295003e-05,3.349080150674573e-09,7.368279173266426e-05,3.349080150674573e-09,0.002921031815212967,3.349080150674573e-09,0.7494889725969852,3.349080150674573e-09,0.7320919296496259
3.351618240156365e-09,7.36980738684056e-05,3.351618240156365e-09,7.3688310346112e-05,3.351618240156365e-09,0.003049354268128416,3.351618240156365e-09,0.7508990223090918,3.351618240156365e-09,0.8042392035521213
3.354233822122422e-09,7.369864995399899e-05,3.354233822122422e-09,7.369572099476827e-05,3.354233822122422e-09,0.002934562288062603,3.354233822122422e-09,0.7523521234013454,3.354233822122422e-09,0.867864425207718
3.357088987840857e-09,7.369972131219605e-05,3.357088987840857e-09,7.370041914317072e-05,3.357088987840857e-09,0.002625863063927271,3.357088987840857e-09,0.7539383265782541,3.357088987840857e-09,1.005100134718578
3.35973459065639e-09,7.369978848567504e-05,3.35973459065639e-09,7.370279251220731e-05,3.35973459065639e-09,0.002258499712624888,3.35973459065639e-09,0.7554081059202167,3.35973459065639e-09,1.335047472560837
3.36181558508456e-09,7.369939924925291e-05,3.36181558508456e-09,7.37030704456981e-05,3.36181558508456e-09,0.001976541402791762,3.36181558508456e-09,0.7565642139358665,3.36181558508456e-09,1.841632719476445
3.363800636873538e-09,7.369789198170816e-05,3.363800636873538e-09,7.37024044627584e-05,3.363800636873538e-09,0.001733509519525131,3.363800636873538e-09,0.7576670204852991,3.363800636873538e-09,2.523144859259176
3.365051950955715e-09,7.369638215737868e-05,3.365051950955715e-09,7.370093187800006e-05,3.365051950955715e-09,0.001593335955533962,3.365051950955715e-09,0.7583621949753973,3.365051950955715e-09,3.001227688007754
3.36676298865655e-09,7.369433876737935e-05,3.36676298865655e-09,7.369936133989231e-05,3.36676298865655e-09,0.00141659979249836,3.36676298865655e-09,0.7593127714758612,3.36676298865655e-09,3.608799892789328
3.368170823648171e-09,7.369273454322587e-05,3.368170823648171e-09,7.369772927648655e-05,3.368170823648171e-09,0.001281901977381824,3.368170823648171e-09,0.7600949020267618,3.368170823648171e-09,3.997680932586489
3.369653634083226e-09,7.369152810346669e-05,3.369653634083226e-09,7.369671984931661e-05,3.369653634083226e-09,0.001152582928363369,3.369653634083226e-09,0.7609186856017923,3.369653634083226e-09,4.291282126219246
3.371483070737428e-09,7.369045226104855e-05,3.371483070737428e-09,7.369548086219507e-05,3.371483070737428e-09,0.001007678406111239,3.371483070737428e-09,0.7619350392985709,3.371483070737428e-09,4.545257105292753
3.373298926751947e-09,7.36899093915636e-05,3.373298926751947e-09,7.369487110803326e-05,3.373298926751947e-09,0.0008814851520381988,3.373298926751947e-09,0.7629438481955261,3.373298926751947e-09,4.712695173583417
3.375603274229854e-09,7.368967637103426e-05,3.375603274229854e-09,7.369423686133133e-05,3.375603274229854e-09,0.0007422113572834658,3.375603274229854e-09,0.7642240412388075,3.375603274229854e-09,4.843109067266326
3.378180335840791e-09,7.368986469782234e-05,3.378180335840791e-09,7.36940296228469e-05,3.378180335840791e-09,0.0006126231381725549,3.378180335840791e-09,0.7656557421337731,3.378180335840791e-09,4.920248793042363
3.38110097542004e-09,7.369040200278477e-05,3.38110097542004e-09,7.369393176504521e-05,3.38110097542004e-09,0.0004917765910530267,3.38110097542004e-09,0.7672783196778001,3.38110097542004e-09,4.961789522708653
3.384379986706843e-09,7.369122119694516e-05,3.384379986706843e-09,7.369414045748894e-05,3.384379986706843e-09,0.0003848505912725979,3.384379986706843e-09,0.769099992614913,3.384379986706843e-09,4.981841432164079
3.388450690846426e-09,7.369227504094419e-05,3.388450690846426e-09,7.369440523477716e-05,3.388450690846426e-09,0.0002846842088537865,3.388450690846426e-09,0.7713614949146809,3.388450690846426e-09,4.991428907189079
3.393796830035596e-09,7.369341041022969e-05,3.393796830035596e-09,7.369477332356125e-05,3.393796830035596e-09,0.0001967243809652232,3.393796830035596e-09,0.7743315722419979,3.393796830035596e-09,4.995493778562944
3.401428691934778e-09,7.36944499255162e-05,3.401428691934778e-09,7.369501264723183e-05,3.401428691934778e-09,0.0001251617724940675,3.401428691934778e-09,0.778571495519321,3.401428691934778e-09,4.996941286685136
