FeaturesParamTransientACANA.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.15) Y,1.844359e-01,2.469856e-15,-1.458923e-05,6.688776e-02,4.473972e-03
/out0 (OFF=0.1528523) Y,1.844359e-01,5.482750e-14,2.075711e-05,6.690191e-02,4.475866e-03
/out0 (OFF=0.1557047) Y,1.844361e-01,3.412215e-15,-1.716014e-05,6.691723e-02,4.477915e-03
/out0 (OFF=0.158557) Y,1.844362e-01,4.006976e-15,-1.859573e-05,6.693385e-02,4.480140e-03
/out0 (OFF=0.1614094) Y,1.844363e-01,4.702363e-15,-2.014458e-05,6.695185e-02,4.482551e-03
/out0 (OFF=0.1642617) Y,1.844365e-01,5.514730e-15,-2.181546e-05,6.697136e-02,4.485164e-03
/out0 (OFF=0.1671141) Y,1.844366e-01,6.462980e-15,-2.361680e-05,6.699249e-02,4.487994e-03
/out0 (OFF=0.1699664) Y,1.844368e-01,7.568875e-15,-2.555748e-05,6.701536e-02,4.491059e-03
/out0 (OFF=0.1728188) Y,1.844370e-01,8.857492e-15,-2.764763e-05,6.704012e-02,4.494377e-03
/out0 (OFF=0.1756711) Y,1.844372e-01,1.035764e-14,-2.989752e-05,6.706689e-02,4.497969e-03
/out0 (OFF=0.1785235) Y,1.844374e-01,1.210243e-14,-3.231772e-05,6.709585e-02,4.501854e-03
/out0 (OFF=0.1813758) Y,1.844376e-01,1.412974e-14,-3.491995e-05,6.712716e-02,4.506056e-03
/out0 (OFF=0.1842282) Y,1.844379e-01,1.648304e-14,-3.771576e-05,6.716099e-02,4.510599e-03
/out0 (OFF=0.1870805) Y,1.844381e-01,1.921191e-14,-4.071842e-05,6.719753e-02,4.515509e-03
/out0 (OFF=0.1899329) Y,1.844384e-01,2.237306e-14,-4.394098e-05,6.723699e-02,4.520813e-03
/out0 (OFF=0.1927852) Y,1.844387e-01,2.603093e-14,-4.739703e-05,6.727958e-02,4.526542e-03
/out0 (OFF=0.1956376) Y,1.844391e-01,3.025901e-14,-5.110153e-05,6.732553e-02,4.532727e-03
/out0 (OFF=0.1984899) Y,1.844394e-01,3.514062e-14,-5.506976e-05,6.737507e-02,4.539401e-03
/out0 (OFF=0.2013423) Y,1.844398e-01,4.077034e-14,-5.931724e-05,6.742848e-02,4.546601e-03
/out0 (OFF=0.2041946) Y,1.844403e-01,4.725519e-14,-6.386088e-05,6.748602e-02,4.554364e-03
/out0 (OFF=0.207047) Y,1.844407e-01,5.471607e-14,-6.871769e-05,6.754799e-02,4.562733e-03
/out0 (OFF=0.2098993) Y,1.844412e-01,6.328938e-14,-7.390550e-05,6.761470e-02,4.571749e-03
/out0 (OFF=0.2127517) Y,1.844417e-01,7.312867e-14,-7.944297e-05,6.768647e-02,4.581460e-03
/out0 (OFF=0.215604) Y,1.844423e-01,8.440660e-14,-8.534934e-05,6.776365e-02,4.591914e-03
/out0 (OFF=0.2184564) Y,1.844429e-01,9.731693e-14,-9.163538e-05,6.784661e-02,4.603165e-03
/out0 (OFF=0.2213087) Y,1.844436e-01,1.120763e-13,-9.834923e-05,6.793572e-02,4.615264e-03
/out0 (OFF=0.2241611) Y,1.844443e-01,1.289274e-13,-1.054843e-04,6.803144e-02,4.628280e-03
/out0 (OFF=0.2270134) Y,1.844450e-01,1.481405e-13,-1.130712e-04,6.813416e-02,4.642266e-03
/out0 (OFF=0.2298658) Y,1.844458e-01,1.700169e-13,-1.211330e-04,6.824434e-02,4.657293e-03
/out0 (OFF=0.2327181) Y,1.844467e-01,1.948916e-13,-1.296922e-04,6.836247e-02,4.673431e-03
/out0 (OFF=0.2355705) Y,1.844476e-01,2.231360e-13,-1.387722e-04,6.848906e-02,4.690755e-03
/out0 (OFF=0.2384228) Y,1.844486e-01,2.551616e-13,-1.483974e-04,6.862463e-02,4.709345e-03
/out0 (OFF=0.2412752) Y,1.844496e-01,2.914232e-13,-1.585921e-04,6.876976e-02,4.729286e-03
/out0 (OFF=0.2441275) Y,1.844508e-01,3.324229e-13,-1.693813e-04,6.892504e-02,4.750668e-03
/out0 (OFF=0.2469799) Y,1.844520e-01,3.787134e-13,-1.807908e-04,6.909108e-02,4.773585e-03
/out0 (OFF=0.2498322) Y,1.844532e-01,4.309024e-13,-1.928465e-04,6.926855e-02,4.798140e-03
